Tila;Epoch-aika;Päivä;Kuukausi;Vuosi;Tunti;Minuutti;Määrä
1478;1573109640;07;11;2019;09;54;4
1478;1573110600;07;11;2019;10;10;1
1478;1573111560;07;11;2019;10;26;10
1478;1573112520;07;11;2019;10;42;16
1478;1573113480;07;11;2019;10;58;20
1478;1573114440;07;11;2019;11;14;18
1478;1573115400;07;11;2019;11;30;19
1478;1573116360;07;11;2019;11;46;2
1478;1573117320;07;11;2019;12;02;2
1478;1573118280;07;11;2019;12;18;16
1478;1573119240;07;11;2019;12;34;16
1478;1573120200;07;11;2019;12;50;13
1478;1573121160;07;11;2019;13;06;11
1478;1573122120;07;11;2019;13;22;11
1478;1573123080;07;11;2019;13;38;14
1478;1573124040;07;11;2019;13;54;9
1478;1573125000;07;11;2019;14;10;27
1478;1573125960;07;11;2019;14;26;30
1478;1573126920;07;11;2019;14;42;27
1478;1573127880;07;11;2019;14;58;26
1478;1573128840;07;11;2019;15;14;26
1478;1573129800;07;11;2019;15;30;28
1478;1573130760;07;11;2019;15;46;19
1478;1573131720;07;11;2019;16;02;16
1478;1573132680;07;11;2019;16;18;13
1478;1573133640;07;11;2019;16;34;6
1478;1573134600;07;11;2019;16;50;5
1478;1573135560;07;11;2019;17;06;5
1478;1573136520;07;11;2019;17;22;4
1478;1573137480;07;11;2019;17;38;4
1478;1573138440;07;11;2019;17;54;5
1478;1573139400;07;11;2019;18;10;4
1478;1573140360;07;11;2019;18;26;4
1478;1573141320;07;11;2019;18;42;5
1478;1573142280;07;11;2019;18;58;4
1478;1573143240;07;11;2019;19;14;5
1478;1573144200;07;11;2019;19;30;3
1478;1573145160;07;11;2019;19;46;3
1478;1573146120;07;11;2019;20;02;3
1478;1573147080;07;11;2019;20;18;3
1478;1573148040;07;11;2019;20;34;3
1478;1573149000;07;11;2019;20;50;4
1478;1573149960;07;11;2019;21;06;0
1478;1573150920;07;11;2019;21;22;0
1478;1573151880;07;11;2019;21;38;0
1478;1573152840;07;11;2019;21;54;0
1478;1573153800;07;11;2019;22;10;0
1478;1573154760;07;11;2019;22;26;0
1478;1573155720;07;11;2019;22;42;0
1478;1573156680;07;11;2019;22;58;0
1478;1573157640;07;11;2019;23;14;0
1478;1573158600;07;11;2019;23;30;0
1478;1573159560;07;11;2019;23;46;0
1478;1573160520;08;11;2019;00;02;0
1478;1573161480;08;11;2019;00;18;0
1478;1573162440;08;11;2019;00;34;0
1478;1573163400;08;11;2019;00;50;0
1478;1573164360;08;11;2019;01;06;0
1478;1573165320;08;11;2019;01;22;0
1478;1573166280;08;11;2019;01;38;0
1478;1573167240;08;11;2019;01;54;0
1478;1573168200;08;11;2019;02;10;0
1478;1573169160;08;11;2019;02;26;0
1478;1573170120;08;11;2019;02;42;0
1478;1573171080;08;11;2019;02;58;0
1478;1573172040;08;11;2019;03;14;0
1478;1573173000;08;11;2019;03;30;0
1478;1573173960;08;11;2019;03;46;0
1478;1573174920;08;11;2019;04;02;0
1478;1573175880;08;11;2019;04;18;0
1478;1573176840;08;11;2019;04;34;0
1478;1573177800;08;11;2019;04;50;0
1478;1573178760;08;11;2019;05;06;0
1478;1573179720;08;11;2019;05;22;0
1478;1573180680;08;11;2019;05;38;0
1478;1573181640;08;11;2019;05;54;0
1478;1573182600;08;11;2019;06;10;0
1478;1573183560;08;11;2019;06;26;0
